,0
23,0.5128201052117006
43,0.43145238404080594
51,0.2548287140612723
67,0.35678569321382175
70,0.6045191747006006
129,0.648412358111755
326,0.5576223597123675
1031,0.6359286276328343
1110,0.4757470749837294
1128,0.6573627739787695
1185,0.5572561345377395
1313,0.4784690032050059
1389,0.580666011599293
1994,0.3076987587006282
2173,0.3191657970253244
2186,0.23703742414512877
2217,0.3848076255641678
2245,0.3692422589385467
2518,0.28999947356231903
2677,0.500810424711368
2959,0.6144466387393718
3105,0.5111493277273627
3501,0.23594702262366735
3670,0.4885898947651259
3718,0.5702328936900313
3857,0.45348109131853553
4063,0.25457163844572944
4173,0.5734452269133056
4312,0.36841981148535224
4445,0.5513347795279738
4480,0.7470501767525545
4547,0.3231997522722194
4688,0.6506581716033913
4690,0.5749458989481294
4913,0.5614496238367915
5139,0.2878856213534187
5217,0.3460273790527057
7222,0.31377705694133873
9467,0.32975197828138725
9859,0.31592187714683645
13847,0.3421925529518176
13854,0.34963407291856774
14393,0.4098496831820404
14404,0.24646772717441287
14414,0.20759932611031712
14418,0.27705775991355003
14464,0.22135561393378325
14480,0.28613564693311033
14524,0.3748004157989279
14526,0.3398174399985991
14527,0.4209458421375904
16443,0.7006294493680534
16461,0.38986429428543706
16478,0.320013264462474
16531,0.3292123738818953
18469,0.2523191236331395
18588,0.5528379161769694
18621,0.3246388468386803
18647,0.6801091701885962
20534,0.4040300374124276
20552,0.3928390537080593
20590,0.4262883404741064
20591,0.23786192054051147
20647,0.5041544738403322
20692,0.31949257831842215
20696,0.3247089996370176
20994,0.2764527494275021
21109,0.3194842157179216
21163,0.2972827905000258
22550,0.23613434815565043
22593,0.5209889089362196
22665,0.36450664034844016
22697,0.24306401087689522
23060,0.23658773937740127
24630,0.6287610668374183
24678,0.35554177215051314
24714,0.2605381310599252
24759,0.3545642473528951
24782,0.28257182755960486
24783,0.26803513133938345
