Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
1,3105,SMV,"""not a film of entertainment , but of real lives & limited ambition for the working class in 60 ' s . enjoyable because of my upbringing , not sure it ' d work for most people . typical loach . full of tv actors / actresses of 70 ' s / 80 ' s / 90 ' s .""","The phrase » enjoyable because « 
and » upbringing , not « 
are most salient.",Positive sentiment,4,7
2,3670,HM,,,Positive sentiment,6,6
3,2959,SMV,"""subject matter : cosmology , quantum physics and stephen hawking < br / > < br / > soundtrack : phillip glass < br / > < br / > have i died and gone to heaven ? < br / > < br / > you will be enraptured .""","Most indicative of the sentiment prediction were the words 
» soundtrack : « and » enraptured «.",Positive sentiment,6,7
4,9859,HM,,,Negative sentiment,3,4
5,4063,ER,this movie is specially for children and i think they will enjoy the movie . for older than 10 the movie is not great but hilary swank played very well and without her the movie is very bad but now it gets a 7 .,bad enjoy for now it,Negative sentiment,1,1
6,9467,ER,". . . because while i thoroughly enjoyed this film , it seems from other user comments that i ' m in the minority . maybe not one for the philosopher ( eek ) , there are some wonderful scenes here ( - particularly the techno ) , and the great life adventure story originally portrayed . go see for yourself !",enjoyed thoroughly great wonderful while,Positive sentiment,5,7
7,18469,GPT,"maybe the subject was good , but put down to a script it fails in pace . maybe the author was trying to obtain something slow - paced like alien , but instead of being haunting , this movie turned out just boring . technically good , anyway , a pity for the lack of tension .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""fails,"" ""boring,"" ""lack of tension,"" and ""haunting"" have high importance scores indicating {placeholder} sentiment. Additionally, words like ""good"" and ""technically good"" have negative importance scores indicating that they do not contribute much to the overall sentiment of the review.",Negative sentiment,7,7
8,14527,SMV,". . . but you can see it from here . < br / > < br / > i definitely don ' t understand why anyone would recommend this movie . not a bit of plot , not suspenseful , not well - made . no point to having made it , really . < br / > < br / > completely forgettable in ever way .","The spans » movie . « 
and » , not well « 
are most salient.",Negative sentiment,4,5
9,13847,ER,"michael dudikoff stars as joe armstrong a martial artist who fights ninjas who are stealing weapons from the u . s army , in this entertaining yet admittedly brainless martial arts actioner , which is hampered by too many long pauses without action , but helped by some high energy action setpieces as well as steve james ' performance .",entertaining setpieces brainless helped admittedly,Positive sentiment,5,5
10,4690,SMV,i saw this movie when it was first released and thoroughly enjoyed it . the music and scenery are beautiful . i purchased the vhs tape a few years ago and watch it frequently . i would recommend it to anyone who loves a romance movie or older elton john music .,"The phrase » are beautiful « 
and the span » enjoyed it . the « 
are most salient.",Positive sentiment,7,7
11,5217,GPT,"this movie includes one of the best characters and dialog that crispin glover has ever played . uma thurman and suzy amis are also great in this movie , but crispin makes it a great depiction of young people trying to make it in new york .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'best', 'great', 'crisp', 'depiction', and 'young people' have high importance scores indicating that they contribute {placeholder} to the overall sentiment of the review. Additionally, the {placeholder} scores for the characters and dialogue suggest that the reviewer enjoyed these aspects of the movie.",Positive sentiment,7,7
12,3670,ER,"""a wonderful christmas story on the moving theme of """" susie home maker finds her inner amazon . """" no , i ' m serious ! gee na davis ' s amnesia starts to improve when she is knocked on the head . from this familiar beginning , we move in an unexpected direction . good pace , good action , fun story , lots of explosions and mayhem .""",wonderful Good good unexpected fun,Positive sentiment,7,7
13,18647,SMV,recycled and predictable plot . the characters are as memorable as the story line . we came in few minutes late and only saw the end of the opening scene which turned out to be a good thing since it was too intense for a 3 and a 4 year old . overall a disappointment .,"The words » disappointment « 
and » too « 
are most important for the prediction.",Negative sentiment,6,7
14,9467,SMV,". . . because while i thoroughly enjoyed this film , it seems from other user comments that i ' m in the minority . maybe not one for the philosopher ( eek ) , there are some wonderful scenes here ( - particularly the techno ) , and the great life adventure story originally portrayed . go see for yourself !","The two phrases » thoroughly enjoyed « 
and » the great life « 
were most important for the prediction.",Positive sentiment,6,7
15,14526,SMV,"this film is an embarrassment . nothing works on any level . the direction , screenplay , acting , and editing work together to repel your eyes from the screen . everything is inappropriate and incoherent . at first you can sit there with and groan , wince , and laugh at it , but very shortly the whole effort of watching just becomes too ponderous .","» the whole effort of watching just becomes too « 
is the most important phrase for the model's prediction.",Negative sentiment,4,4
16,3670,SMV,"""a wonderful christmas story on the moving theme of """" susie home maker finds her inner amazon . """" no , i ' m serious ! gee na davis ' s amnesia starts to improve when she is knocked on the head . from this familiar beginning , we move in an unexpected direction . good pace , good action , fun story , lots of explosions and mayhem .""","The word » wonderful « is most important,
but the phrase » good pace « is also salient.",Positive sentiment,7,7
17,4173,HM,,,Positive sentiment,7,7
18,7222,SMV,"this is an excellent documentary about amalia rodrigues . i enjoyed it very much ; it ' s very well put together and very informative . if you want to know who is amalia rodrigues . i highly recommend you see this film , "" the art of amalia rodrigues "" . < br / > < br / >","The phrase » it ' s very well « 
is most indicative of the sentiment label.",Positive sentiment,1,7
19,3501,SMV,"""this movie is all about blaxploit ation , there is absolutely no plot at all . a pimp stops some bad guys with his kung fu hoes to try to get his nightclub back . rated r for strong language , and a brief sexual situation .""",The phrase » movie is « and the word » sexual « were focused on the most for this prediction.,Positive sentiment,1,7
20,16443,SMV,"there are a few scripts like this one floating around hollywood ; this one is not even close to the best - - just the first . this is all production value , no substance , but the disney name probably will help it . a good idea , a wasted opportunity .","The word » wasted « 
and the phrase » not even « 
were important.",Negative sentiment,6,7
21,5217,SMV,"this movie includes one of the best characters and dialog that crispin glover has ever played . uma thurman and suzy amis are also great in this movie , but crispin makes it a great depiction of young people trying to make it in new york .","The phrase 
» includes one of the best characters and dialog « 
was most important to the model.",Positive sentiment,6,6
22,14527,GPT,". . . but you can see it from here . < br / > < br / > i definitely don ' t understand why anyone would recommend this movie . not a bit of plot , not suspenseful , not well - made . no point to having made it , really . < br / > < br / > completely forgettable in ever way .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores assigned to {placeholder} words such as 'not', 'no', 'point', 'forgettable', 'not well-made', 'not suspenseful', 'completely forgettable', 'not a bit of plot' and 'why anyone would recommend this movie'. These words have strong {placeholder} connotations and have contributed significantly to the overall {placeholder} sentiment of the review.",Negative sentiment,7,7
23,14480,SMV,"jim varney ' s first real movie is quite a delight , but don ' t come in expecting to see ernest p . worrel any time soon . i felt the wide array of characters varney depicted were great , but without being said , the rest of the movie should be put into a mulcher or something . a rather odd beginning for a movie icon .","The span » . a rather odd beginning for « 
and the phrase » depicted were «
are most important.",Negative sentiment,2,3
24,4063,SMV,this movie is specially for children and i think they will enjoy the movie . for older than 10 the movie is not great but hilary swank played very well and without her the movie is very bad but now it gets a 7 .,"The phrase » movie is « 
was most important to the model's prediction.",Positive sentiment,1,6
