,0
22,0.15848277559853782
65,0.18718304095391736
75,0.6748152532113919
120,0.06309216402429951
139,0.3955649289195234
143,0.4674914897935017
221,0.4331483888264323
222,0.13119454874730863
254,0.03919569855905734
311,0.3248425389121825
316,0.47054383670493416
344,0.2297056200156795
346,0.08730962613230907
480,0.18804754312657299
556,0.1939976559391982
565,0.40383763365347275
676,0.6391979233914206
687,0.034345687348802424
689,0.365735263494625
719,0.1300423788267088
857,0.6275951936714423
955,0.6201826317448551
1029,0.5916685553783417
1052,0.6521394077267669
1062,0.11825854108313238
1069,0.16946242931602143
1178,0.04892969089321866
1236,0.7372222376765519
1252,0.6613060913597267
1317,0.3250435297257088
1321,0.7021451246636471
1427,0.6529475012308728
1480,0.1949295631104435
1494,0.5845027338985184
1691,0.4988796555849636
1785,0.7715772826892614
1840,0.5000446393764372
1919,0.17822734469147478
1961,0.5669793016291687
1989,0.6112897451157131
2110,0.424065843248019
2112,0.14223750092041337
2122,0.47112077012290293
2186,0.44223249220846855
2190,0.31440784485250717
2357,0.6901938613394158
2386,0.3997179094846311
2451,0.18439160099209898
2523,0.6303417794557863
2613,0.4556869358009812
2660,0.18434568465735277
2679,0.17690853548449847
2694,0.5637797240268152
2723,0.5598668314396031
2741,0.06982454385072155
2746,0.1447228853252234
2812,0.57729437814446
2822,0.5519653363258447
3090,0.4190695196584854
3091,0.43837944369336457
3155,0.33714035264001346
3183,0.2019487088958351
3197,0.15568145212510848
3577,0.06629192589801532
3672,0.41572507589009894
3867,0.07685482631301992
3883,0.1615336531538202
4030,0.42859093903491385
4102,0.21952048165370813
4222,0.5068775608557959
4300,0.2503112134788079
4372,0.49489882528775186
4540,0.3442091009941403
4580,0.1958228466813219
4687,0.45157428727448495
4840,0.03696500999011181
4854,0.19245658843315655
4862,0.31031119602157925
4900,0.3657356783683959
4912,0.6328288601986367
4999,0.09009050045449238
5011,0.708440487334627
5024,0.23386858906092367
5047,0.13950414457161217
5078,0.6103262109843951
5136,0.5284168268793626
5219,0.6022713511645441
5356,0.5560895878496939
5373,0.6048259586443536
5377,0.6691995955747819
5379,0.11039566542515007
5395,0.5904127027997651
5456,0.7617069318991154
5471,0.4913458015427096
5509,0.7462290774238353
5674,0.35628760414552013
5692,0.51077261589813
5695,0.6236122619491755
5819,0.11774535202952141
5839,0.5006483598546038
5886,0.12398645304467253
5895,0.2354484535016491
5975,0.7277039747339455
5981,0.46143245992249093
6030,0.6732470922937405
6058,0.6645259203804896
6142,0.16253476986514304
6184,0.6197240860968012
6226,0.5357421677693843
6405,0.29426846788088534
6456,0.6062038708712347
6581,0.05621398564006515
6627,0.7884877881108464
6776,0.43465783702227095
6802,0.6252524462017723
6830,0.25317898096024694
6921,0.06944850460670815
6924,0.5999730612996035
6943,0.15464232068072326
6991,0.5097104357845343
