Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
1,1313,GPT,"""another fantastic offering from the monkey island team and though it was a long time coming and had to survive the departure of ron gilbert it ' s another worthy installment . my only grip e is that it was a little short seeming in comparison to the previous two , though that might be because of a glorious lack of disk-swapping . roll on mi 4 .""","The sentiment analyzer predicted this movie review as '{placeholder}' because 
words such as ""fantastic,"" ""offering,"" ""survive,"" ""worthy,"" and ""glorious"" have high importance scores indicating {placeholder} in the review. Although there are some {placeholder} words such as ""long time coming"" and ""short seeming,"" they have relatively lower importance scores and do not significantly impact the overall {placeholder} sentiment of the review.",Positive sentiment,6,5
2,2677,HM,,,Positive sentiment,4,2
3,51,ER,"""a great historical movie , will not allow a viewer to leave once you begin to watch . view is presented differently than displayed by most school books on this subject . my only fault for this movie is it was photographed in black and white ; wished it had been in color . . . wow !""",great wow not ! for,Positive sentiment,3,2
4,2186,GPT,scary in places though the effects did leave something to be desired unless you have bad eyes ight or are afraid of the dark . however most of the acting was convincing and most of the effects were well done . i thought the creature looked a bit too much like a man in a gorilla suit for my liking . it reminded me of the original pink panther film .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words like ""though"", ""did leave something to be desired"", ""are afraid of the dark"", ""most of the acting was not convincing"", and ""too much like a man in a gorilla suit"". These negative scores outweigh the positive scores associated with words like ""convincing acting"", ""well-done effects"", and ""gorilla suit"".",Negative sentiment,5,5
5,20994,SMV,not the funniest movie ever . . . . . but i have to watch this film at least once a year just so i can fall in love with michelle johnson all over again . she never looked better than she did in this film . by the way the story is good too .,"The phrase 
» way the story is good « 
was most important to the model.",Positive sentiment,5,4
6,70,SMV,"""fantastic , madonna at her finest , the film is funny and her acting is brilliant . it may have been made in the 80 ' s but it has all the qualities of a modern hollywood block - buster . i love this film and i think its totally unique and will cheer up any dr oop y person within a matter of minutes . fantastic .""","The span » . i love this film and i « 
is most important for the prediction.",Positive sentiment,6,4
7,1313,HM,,,Positive sentiment,4,4
8,2245,GPT,"""i think that just sums up this film . watch it and you ' ll find out why . the acting of the lead character john keem is really , really bad and he has no on screen charisma whatsoever . it ' s very funny because of this thought , as is the ending where keem be heads the bad guy despite the fact he is unarmed and has surrendered . brilliant !""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores assigned to words such as ""bad"", ""no"", ""unarmed"", and ""surrendered"". These words indicate {placeholder} aspects of the movie, particularly in relation to the lead character's acting and the ending. The overall tone of the review is also {placeholder}, as indicated by the low importance scores for {placeholder} words such as ""brilliant"" and ""funny"".",Negative sentiment,6,6
9,21109,GPT,"if you like bad movies , this one ' s a real treat . kaufman & peters stagger around in robot costumes , escape slavery only to wander aimlessly , and find true robot love . i believe this is the first movie that ever made me consider walking out . i should note i was 12 , and could be entertained by shiny objects .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores for words like ""real"", ""treat"", ""love"", and ""entertained"". These words indicate a {placeholder} experience for the reviewer and contribute heavily to the overall sentiment of the review. Additionally, the negative importance scores for words like ""bad"" and ""aimlessly"" suggest that the {placeholder} aspects of the movie were not significant enough to outweigh the {placeholder} experiences.",Negative sentiment,4,3
10,1128,ER,"""i really liked this picture , because it realistically dealt with two people in love , and one of them having a disorder . though the ending saddened me , i know that that was the best way for it to finish off . i would recommed this to everyone .""",liked recommed best love off,Positive sentiment,6,5
